"","X","Y","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11",30.50671387,-1.948913574,747.262799644,590.089777937,751.185445356,748.390219153,878.044377566,988.727891085,786.390812582,760.909231342,658.299307656,502.832626699,640.711646047,654.600079085,723.93147178,582.50342394,662.030216097,543.408308336,419.62998568,558.444803567,765.478377901,690.780878627,596.726728517,812.371913934,1166.437268672,911.597382378,746.996125856,606.891768018,797.065142122,829.192368824,914.871093109,722.554158745,754.53832874,807.553704851,666.651785225,651.262136888
"12",30.59570313,-1.948913574,640.88393929,454.160399432,736.596738833,605.242878664,717.506493686,879.387782754,664.942339456,712.791986314,668.869551392,465.607085045,601.213404126,600.661928464,732.804591647,672.340212195,638.27367836,534.69796782,417.422689444,580.122334406,722.360231866,722.81210685,553.013292021,717.356185205,917.548049527,810.960817219,640.17290188,611.751377036,727.114492654,742.301278102,884.01745614,726.981351452,684.707658051,715.873785589,610.17443932,701.176616619
"13",30.68469238,-1.948913574,604.198525258,420.227344744,951.740129006,658.421035751,656.885307627,936.06611578,758.158100427,742.383296957,775.508531348,479.524461629,520.072129726,712.678984306,764.80228579,609.743996135,710.705428253,522.105160289,427.5709742,543.793219439,738.878987557,746.313943013,589.488476876,792.034464906,893.774348149,765.521386019,629.374809332,581.539599156,797.165308876,745.870838459,866.498523732,757.968093159,691.331813671,751.238066478,632.496139147,699.349551779
"14",30.77368164,-1.948913574,490.784656295,424.256794028,897.87166271,607.02477817,537.963493505,915.502861671,737.593701302,814.645423544,742.313027147,527.518366525,586.270080861,638.77991434,734.672222251,741.070994424,704.45596812,462.203111634,505.887834843,541.107543817,780.804466531001,743.451509477,615.869167571,701.539303585,849.256556283,748.988695861,736.74647211,631.517287742,747.050923453,787.512665371,866.234943063,803.325824838,715.523744348,763.155581083,658.584312081,643.032553778
"15",30.8626709,-1.948913574,491.584528323,436.305265665,748.901802187,615.62659758,577.555587493,1215.298137177,761.39131784,827.849431203,700.942851266,542.069614821,634.840736389,648.389339212,684.135392889,804.515240681,757.678066901001,469.615767351,618.038496196,607.975956128,802.859974863,741.308400581,667.743426323,867.695817705,748.060781356,825.030317913,841.61964401,704.341524808,724.624053636,811.903752762,864.058748804,822.329337469,763.070252474,742.544021716,608.33824088,596.506877304
"16",30.95172119,-1.948913574,524.530307242,385.865910778,775.995863633,607.397165175,611.508303499,1217.265314097,768.651160953,789.220086815,673.917730443,529.670585003,607.203162075,731.802105981,658.369229429,933.938107472,821.576304659,489.672376523,660.598719425,593.027717532,784.7683939,781.63696263,714.138201008,749.659292447,676.241653735,853.921916967,801.191984897,764.691944829,721.155827423,858.91481333,881.699593778,801.128828649,889.006385359,825.173917576,710.78505253,624.952829653
"17",31.04071045,-1.948913574,524.530307242,385.865910778,775.995863633,607.397165175,611.508303499,1217.265314097,768.651160953,789.220086815,673.917730443,529.670585003,607.203162075,731.802105981,658.369229429,933.938107472,821.576304659,489.672376523,660.598719425,593.027717532,784.7683939,781.63696263,714.138201008,749.659292447,676.241653735,853.921916967,801.191984897,764.691944829,721.155827423,858.91481333,881.699593778,801.128828649,889.006385359,825.173917576,710.78505253,624.952829653
"18",31.12969971,-1.948913574,558.581687021,431.617474908,780.150673849,617.054649586,720.66486037,1204.679955189,878.347642853,761.53286801,763.70317679,531.300571615,611.274222263,850.458189422,714.430153607,906.434863257,853.712379625,531.2936734,652.557728516,618.293364828,815.645856628,847.186957854999,725.486476545,755.224763504,661.463256244,946.199424582,878.536928658,776.79231368,711.477211962,881.212971004,938.451333067,881.526723441,953.655203872,957.793627949,715.332526464,642.057448735
"19",31.21868896,-1.948913574,617.566355913,442.880978893,863.854809175,654.37300356,792.700711723,1381.45873405,964.161650251,809.716299225,926.935225996,665.770722801,685.117022459,836.679844621,784.879947128,918.882950651,803.666919206,544.448834409,665.134452174,729.599050518,857.161055903,903.581329126,753.832998987,782.314998793,753.74164583,951.176228872,943.629250774,759.366601326,771.173447388,940.717252848,973.779997865,1045.569942041,988.36876893,985.776473846,823.764397731,702.919068929
"20",31.30767822,-1.948913574,685.958923579,613.623666799,880.438616163,745.606610782,809.912976453,1564.215697206,1105.601307661,756.897493062,961.121533335,692.592762242,674.266944684,960.797402783,851.100033569,964.077401763,925.058097049,590.932334234,630.669530536,1069.109503957,889.717446195,914.601435011,800.767066862,899.628444696,846.211398584,1038.785633277,943.389766364,808.157445625,821.644002905,933.257262473,1023.358928327,1086.85730393,958.067884053,1066.50750145,854.788704098,718.371110439
